verb,object,label
carry,book,1.0
carry,flag,1.0
carry,food,1.0
carry,baby,1.0
carry,bride,1.0
carry,player,1.0
carry,pot,1.0
carry,son,1.0
carry,wife,1.0
carry,bike,1.0
carry,girlfriend,1.0
carry,basket,1.0
carry,skateboard,1.0
carry,umbrella,1.0
carry,bouquet,1.0
carry,box,1.0
carry,bundle,1.0
carry,kayak,1.0
carry,trophy,1.0
carry,fish,1.0
carry,puck,1.0
carry,tray,1.0
carve,face,1.0
carve,trunk,1.0
cascade,rock,1.0
cast,net,1.0
cast,set,1.0
cast,stage,1.0
catch,ball,1.0
catch,football,1.0
catch,game,1.0
catch,fish,1.0
catch,player,1.0
catch,touchdown,1.0
celebrate,player,1.0
celebrate,game,1.0
celebrate,fan,1.0
celebrate,crowd,1.0
celebrate,teammate,1.0
celebrate,cricketer,1.0
celebrate,footballer,1.0
celebrate,match,1.0
celebrate,coach,1.0
celebrate,event,1.0
celebrate,supporter,1.0
celebrate,league,1.0
celebrate,run,1.0
celebrate,athlete,1.0
celebrate,mate,1.0
celebrate,play,1.0
celebrate,pass,1.0
celebrate,pitch,1.0
celebrate,ceremony,1.0
celebrate,drink,1.0
chain,post,1.0
change,dress,1.0
change,match,1.0
change,color,1.0
charge,match,1.0
chase,ball,1.0
chase,puck,1.0
check,car,1.0
check,phone,1.0
check,patient,1.0
check,message,1.0
cheer,game,1.0
cheer,team,1.0
cheer,player,1.0
chip,ball,1.0
choose,clothes,1.0
choose,food,1.0
choose,shoe,1.0
choose,flower,1.0
choose,fruit,1.0
chop,vegetable,1.0
clap,hand,1.0
clean,kitchen,1.0
clean,snow,1.0
clean,car,1.0
clear,snow,1.0
clear,ball,1.0
climb,tree,1.0
climb,rock,1.0
climb,wall,1.0
climb,mountain,1.0
climb,cliff,1.0
climb,stair,1.0
climb,hill,1.0
climb,branch,1.0
close,eye,1.0
close,view,1.0
close,hand,1.0
coach,team,1.0
coach,player,1.0
coat,ground,1.0
collect,award,1.0
collect,flower,1.0
collide,player,1.0
collide,match,1.0
comb,hair,1.0
come,ball,1.0
come,port,1.0
come,morning,1.0
come,station,1.0
comfort,woman,1.0
communicate,one,1.0
compete,player,1.0
compete,tournament,1.0
compete,game,1.0
compete,star,1.0
compete,match,1.0
compete,person,1.0
congratulate,player,1.0
congratulate,match,1.0
congratulate,person,1.0
connect,mainland,1.0
connect,run,1.0
console,woman,1.0
cook,food,1.0
cook,kitchen,1.0
cook,vegetable,1.0
cook,meat,1.0
cook,meal,1.0
cool,fountain,1.0
cover,eye,1.0
cover,mountain,1.0
cover,mouth,1.0
cover,person,1.0
cover,moon,1.0
cover,skyline,1.0
cover,snow,1.0
crack,egg,1.0
crash,pier,1.0
crash,lighthouse,1.0
crash,cliff,1.0
crash,coastline,1.0
crash,seawall,1.0
crash,reef,1.0
crash,breakwater,1.0
crash,rock,1.0
crash,shoreline,1.0
crash,island,1.0
crash,event,1.0
crash,seafront,1.0
crash,stone,1.0
crash,coast,1.0
crawl,beach,1.0
crawl,branch,1.0
create,house,1.0
create,poster,1.0
cross,street,1.0
cross,road,1.0
cross,bridge,1.0
cross,river,1.0
cross,crosswalk,1.0
cross,city,1.0
cross,finger,1.0
cross,arm,1.0
cross,mountain,1.0
cross,background,1.0
cross,field,1.0
cross,line,1.0
cross,sky,1.0
crowd,beach,1.0
crowd,street,1.0
cruise,ocean,1.0
cruise,sea,1.0
crush,beach,1.0
cuddle,water,1.0
cut,vegetable,1.0
cut,tree,1.0
cut,hair,1.0
cut,cucumber,1.0
cut,forest,1.0
cut,grass,1.0
cut,wood,1.0
cut,branch,1.0
cut,cake,1.0
cut,rice,1.0
cycle,city,1.0
dance,beach,1.0
dance,festival,1.0
dance,event,1.0
dance,background,1.0
dance,person,1.0
dance,field,1.0
dance,park,1.0
dance,light,1.0
dance,photo,1.0
dance,stage,1.0
dazzle,dress,1.0
decorate,tree,1.0
decorate,light,1.0
defend,player,1.0
defend,net,1.0
defend,team,1.0
defend,match,1.0
defend,goal,1.0
deflect,ball,1.0
deject,match,1.0
deliver,ball,1.0
deliver,inning,1.0
deliver,team,1.0
depart,premiere,1.0
depart,station,1.0
depart,beach,1.0
depict,person,1.0
descend,stair,1.0
deteriorate,vine,1.0
dip,bride,1.0
direct,player,1.0
direct,team,1.0
direct,director,1.0
disembark,train,1.0
display,flag,1.0
display,sign,1.0
display,banner,1.0
display,color,1.0
display,tattoo,1.0
dissolve,sky,1.0
dive,touchdown,1.0
dive,ball,1.0
dive,water,1.0
dive,base,1.0
dive,try,1.0
dock,port,1.0
dock,harbour,1.0
dock,canal,1.0
dock,harbor,1.0
dock,beach,1.0
dock,marina,1.0
don,cap,1.0
don,gown,1.0
drape,front,1.0
dress,costume,1.0
dress,dress,1.0
dress,clothes,1.0
dress,jacket,1.0
dress,shirt,1.0
drift,mountain,1.0
drift,ocean,1.0
drift,sky,1.0
drink,chocolate,1.0
drip,tap,1.0
drive,car,1.0
drive,boat,1.0
drive,road,1.0
drive,race,1.0
drive,person,1.0
drive,horse,1.0
drive,motorcycle,1.0
drive,event,1.0
drive,tractor,1.0
drive,bridge,1.0
drive,highway,1.0
drive,vehicle,1.0
drop,ball,1.0
drop,catch,1.0
dunk,ball,1.0
dye,hair,1.0
earn,award,1.0
eat,chocolate,1.0
edge,ball,1.0
edge,bride,1.0
embrace,other,1.0
embrace,beach,1.0
embrace,wife,1.0
embrace,tree,1.0
embrace,daughter,1.0
embrace,man,1.0
embrace,player,1.0
embrace,mother,1.0
embrace,bride,1.0
emerge,tunnel,1.0
encourage,person,1.0
encourage,team,1.0
enjoy,rain,1.0
enjoy,sunshine,1.0
enjoy,sea,1.0
enjoy,view,1.0
enjoy,snow,1.0
enjoy,sunset,1.0
enjoy,water,1.0
enjoy,blossom,1.0
enjoy,game,1.0
enjoy,park,1.0
enjoy,season,1.0
enjoy,sand,1.0
enter,house,1.0
enter,room,1.0
enter,field,1.0
enter,ceremony,1.0
enter,harbour,1.0
enter,stadium,1.0
enter,water,1.0
enter,harbor,1.0
enter,reception,1.0
enter,season,1.0
enter,station,1.0
entertain,crowd,1.0
evade,tackle,1.0
exercise,beach,1.0
exercise,session,1.0
exercise,treadmill,1.0
exit,church,1.0
exit,reception,1.0
explain,something,1.0
face,game,1.0
fall,stair,1.0
fall,water,1.0
fall,floor,1.0
fall,road,1.0
fall,rock,1.0
fall,storm,1.0
feed,child,1.0
feed,dog,1.0
feed,person,1.0
feed,chicken,1.0
feed,pigeon,1.0
feed,boy,1.0
fetch,ball,1.0
fetch,water,1.0
fight,ball,1.0
fight,person,1.0
fight,boxer,1.0
fight,fire,1.0
fill,car,1.0
fill,street,1.0
fire,ball,1.0
fit,piece,1.0
fix,hair,1.0
fix,car,1.0
fix,net,1.0
flaunt,figure,1.0
flex,muscle,1.0
flip,bat,1.0
float,sea,1.0
float,lake,1.0
float,river,1.0
float,ocean,1.0
float,boat,1.0
float,cloud,1.0
float,mountain,1.0
float,waters,1.0
float,wave,1.0
float,wind,1.0
float,sky,1.0
float,storm,1.0
flow,dam,1.0
flow,spillway,1.0
flow,sky,1.0
flutter,breeze,1.0
flutter,front,1.0
flutter,wind,1.0
flutter,sky,1.0
fly,field,1.0
fly,balloon,1.0
fly,flag,1.0
fly,beach,1.0
fly,sunset,1.0
fly,water,1.0
fly,wind,1.0
fly,forest,1.0
fly,top,1.0
fly,front,1.0
fly,city,1.0
fly,flower,1.0
fly,night,1.0
fly,side,1.0
fold,flag,1.0
fold,background,1.0
follow,person,1.0
follow,team,1.0
fumble,ball,1.0
gallop,meadow,1.0
gallop,beach,1.0
gallop,road,1.0
gather,ball,1.0
gather,tree,1.0
gather,rally,1.0
gather,celebration,1.0
gather,honey,1.0
gather,person,1.0
gather,sky,1.0
get,goal,1.0
get,win,1.0
get,ball,1.0
get,car,1.0
get,water,1.0
get,match,1.0
get,run,1.0
get,shot,1.0
get,floor,1.0
get,wedding,1.0
get,ceremony,1.0
get,show,1.0
get,hit,1.0
get,look,1.0
get,train,1.0
get,person,1.0
get,picture,1.0
get,player,1.0
get,worm,1.0
give,flower,1.0
glow,light,1.0
glow,sky,1.0
go,street,1.0
go,ball,1.0
go,stair,1.0
go,road,1.0
go,bridge,1.0
go,hoop,1.0
go,field,1.0
go,layup,1.0
go,pavement,1.0
go,player,1.0
go,game,1.0
go,tackle,1.0
go,city,1.0
go,crowd,1.0
go,forest,1.0
go,highway,1.0
go,park,1.0
go,river,1.0
go,run,1.0
go,dress,1.0
go,airport,1.0
go,beach,1.0
go,fours,1.0
go,sky,1.0
go,stadium,1.0
grab,ball,1.0
grab,rebound,1.0
grab,catch,1.0
greet,player,1.0
greet,fan,1.0
greet,person,1.0
greet,crowd,1.0
greet,other,1.0
greet,politician,1.0
greet,audience,1.0
greet,supporter,1.0
grow,road,1.0
grow,tree,1.0
grow,vine,1.0
grow,wall,1.0
grow,bush,1.0
grow,forest,1.0
grow,front,1.0
guard,net,1.0
guard,player,1.0
gush,fountain,1.0
gush,spillway,1.0
hand,ball,1.0
hang,tree,1.0
hang,wall,1.0
hang,branch,1.0
hang,front,1.0
hang,room,1.0
hang,side,1.0
hang,building,1.0
hang,city,1.0
hang,street,1.0
hang,web,1.0
haul,pass,1.0
haul,net,1.0
haul,beach,1.0
have,car,1.0
head,ball,1.0
head,river,1.0
head,goal,1.0
head,city,1.0
head,field,1.0
help,child,1.0
help,person,1.0
help,patient,1.0
hike,forest,1.0
hike,snow,1.0
hike,trail,1.0
hike,mountain,1.0
hike,edge,1.0
hike,wood,1.0
hike,top,1.0
hike,path,1.0
hike,desert,1.0
hit,ball,1.0
hit,shot,1.0
hit,goal,1.0
hit,backhand,1.0
hit,match,1.0
hit,pier,1.0
hit,run,1.0
hit,shoreline,1.0
hit,forehand,1.0
hit,street,1.0
hit,game,1.0
hit,cliff,1.0
hit,puck,1.0
hit,drive,1.0
hit,half,1.0
hit,six,1.0
hit,slam,1.0
hit,rock,1.0
hit,triple,1.0
hitchhike,road,1.0
hold,daughter,1.0
hold,dog,1.0
hold,ball,1.0
hold,girl,1.0
hold,baby,1.0
hold,son,1.0
hold,glass,1.0
hold,computer,1.0
hold,trophy,1.0
hold,arm,1.0
hold,book,1.0
hold,puppy,1.0
hold,head,1.0
hold,cat,1.0
hold,laptop,1.0
hold,picture,1.0
hold,one,1.0
hold,bunch,1.0
hold,flag,1.0
hold,player,1.0
hold,sign,1.0
hold,bag,1.0
hold,box,1.0
hold,dish,1.0
hold,camera,1.0
hold,bouquet,1.0
hold,hat,1.0
hold,piece,1.0
hold,bicycle,1.0
hold,boy,1.0
hold,chicken,1.0
hold,cup,1.0
hold,finger,1.0
hold,kitten,1.0
hold,notepad,1.0
hold,person,1.0
hold,sample,1.0
hold,skateboard,1.0
hold,umbrella,1.0
hold,face,1.0
hold,girlfriend,1.0
hold,helmet,1.0
hold,toddler,1.0
hold,basketball,1.0
hold,board,1.0
hold,flower,1.0
hold,jersey,1.0
hold,paper,1.0
hold,phone,1.0
hold,pot,1.0
hold,solidarity,1.0
hold,banner,1.0
hold,bike,1.0
hold,bottle,1.0
hold,bundle,1.0
hold,category,1.0
hold,door,1.0
hold,hair,1.0
hold,league,1.0
hold,match,1.0
hold,medal,1.0
hold,newborn,1.0
hold,other,1.0
hold,photograph,1.0
hold,shirt,1.0
hold,smartphone,1.0
hold,woman,1.0
hold,actor,1.0
hold,award,1.0
hold,jacket,1.0
hold,letter,1.0
hold,pill,1.0
hold,poster,1.0
hold,symbol,1.0
hold,bear,1.0
hold,card,1.0
hold,stick,1.0
hold,world,1.0
hover,flower,1.0
huddle,game,1.0
huddle,match,1.0
hug,tree,1.0
hug,street,1.0
hug,dog,1.0
hug,person,1.0
hug,daughter,1.0
hug,beach,1.0
hug,player,1.0
hug,other,1.0
hug,baby,1.0
hug,groom,1.0
hug,man,1.0
hug,son,1.0
hug,woman,1.0
hug,park,1.0
hug,father,1.0
hug,girlfriend,1.0
hug,mother,1.0
illuminate,tree,1.0
insert,coin,1.0
intercept,ball,1.0
jog,road,1.0
jog,trail,1.0
jog,session,1.0
jog,park,1.0
jog,dog,1.0
jog,snow,1.0
jog,city,1.0
join,player,1.0
join,team,1.0
jump,beach,1.0
jump,sea,1.0
jump,mountain,1.0
jump,ball,1.0
jump,field,1.0
jump,pool,1.0
jump,sunset,1.0
jump,boat,1.0
jump,cliff,1.0
jump,bridge,1.0
jump,snow,1.0
jump,stair,1.0
jump,horse,1.0
jump,puddle,1.0
jump,river,1.0
jump,tree,1.0
jump,car,1.0
jump,dune,1.0
jump,sky,1.0
jump,rope,1.0
kayak,lake,1.0
kayak,river,1.0
keep,ball,1.0
keep,watch,1.0
kick,ball,1.0
kick,game,1.0
kick,football,1.0
kick,goal,1.0
kick,match,1.0
kick,session,1.0
kick,point,1.0
kick,team,1.0
kiss,bride,1.0
kiss,beach,1.0
kiss,daughter,1.0
kiss,mother,1.0
kiss,woman,1.0
kiss,water,1.0
kiss,street,1.0
kiss,wife,1.0
kiss,actor,1.0
kiss,girlfriend,1.0
kiss,meadow,1.0
kiss,person,1.0
kiss,tree,1.0
kiss,sea,1.0
kiss,umbrella,1.0
kiss,baby,1.0
kneel,cross,1.0
kneel,field,1.0
kneel,anthem,1.0
knock,door,1.0
knock,boxer,1.0
knock,pin,1.0
laugh,ceremony,1.0
laugh,beach,1.0
laugh,reception,1.0
laugh,camera,1.0
laugh,wedding,1.0
laugh,background,1.0
laugh,front,1.0
launch,show,1.0
lay,grass,1.0
lay,beach,1.0
lay,couch,1.0
lay,bed,1.0
lay,ball,1.0
lay,background,1.0
lay,blanket,1.0
lay,flower,1.0
lay,shot,1.0
lay,snow,1.0
lead,horse,1.0
lead,team,1.0
lead,group,1.0
lean,tree,1.0
lean,wall,1.0
lean,fence,1.0
lean,chair,1.0
lean,car,1.0
lean,motorcycle,1.0
lean,table,1.0
lean,door,1.0
lean,counter,1.0
lean,stool,1.0
lean,desk,1.0
leap,air,1.0
leap,water,1.0
leap,person,1.0
leap,ball,1.0
leap,zone,1.0
learn,library,1.0
learn,classroom,1.0
leave,port,1.0
leave,ceremony,1.0
leave,field,1.0
leave,ground,1.0
leave,harbor,1.0
leave,game,1.0
leave,harbour,1.0
leave,stage,1.0
leave,tree,1.0
leave,church,1.0
leave,gym,1.0
leave,reception,1.0
leave,theater,1.0
leave,studio,1.0
lie,floor,1.0
lie,beach,1.0
lie,couch,1.0
lie,sofa,1.0
lie,bed,1.0
lie,meadow,1.0
lie,ground,1.0
lie,bench,1.0
lie,hammock,1.0
lie,lawn,1.0
lie,street,1.0
lie,front,1.0
lie,table,1.0
lie,tree,1.0
lie,background,1.0
lie,surfboard,1.0
lie,rock,1.0
lie,bathtub,1.0
lie,sand,1.0
lie,water,1.0
lie,mat,1.0
lie,window,1.0
lie,pasture,1.0
lie,dog,1.0
lie,pitch,1.0
lie,side,1.0
lie,back,1.0
lie,pillow,1.0
lie,wood,1.0
lie,branch,1.0
lie,desk,1.0
lie,suitcase,1.0
lie,windowsill,1.0
lift,trophy,1.0
lift,arm,1.0
lift,bride,1.0
lift,player,1.0
lift,league,1.0
light,background,1.0
light,sky,1.0
light,backfire,1.0
light,cloud,1.0
light,flare,1.0
line,road,1.0
line,game,1.0
line,street,1.0
line,beach,1.0
line,team,1.0
link,mainland,1.0
listen,person,1.0
listen,coach,1.0
listen,music,1.0
listen,concert,1.0
listen,classroom,1.0
listen,class,1.0
lock,railing,1.0
look,person,1.0
look,event,1.0
look,window,1.0
look,ocean,1.0
look,girl,1.0
look,computer,1.0
look,game,1.0
look,tree,1.0
look,display,1.0
look,ball,1.0
look,smartphone,1.0
look,flower,1.0
look,view,1.0
look,beach,1.0
look,crowd,1.0
look,dress,1.0
look,player,1.0
look,match,1.0
look,session,1.0
look,sky,1.0
look,team,1.0
look,balcony,1.0
look,dog,1.0
look,face,1.0
look,laptop,1.0
look,premiere,1.0
look,camera,1.0
look,eye,1.0
look,sea,1.0
look,award,1.0
look,car,1.0
look,coast,1.0
look,front,1.0
look,pitch,1.0
look,portrait,1.0
look,scene,1.0
look,conference,1.0
look,door,1.0
look,home,1.0
look,house,1.0
look,photograph,1.0
look,prey,1.0
look,show,1.0
look,someone,1.0
look,water,1.0
look,actor,1.0
look,bottle,1.0
look,ceremony,1.0
look,pair,1.0
look,photo,1.0
look,practice,1.0
look,side,1.0
look,touchline,1.0
look,festival,1.0
look,it,1.0
look,man,1.0
look,one,1.0
look,skirt,1.0
look,spirit,1.0
look,sweater,1.0
loom,sky,1.0
lose,ball,1.0
make,face,1.0
make,bread,1.0
make,dress,1.0
make,bubble,1.0
make,team,1.0
make,goal,1.0
make,snowman,1.0
make,web,1.0
make,image,1.0
make,vegetable,1.0
march,street,1.0
march,city,1.0
marry,person,1.0
meet,fan,1.0
meet,child,1.0
meet,soldier,1.0
meet,person,1.0
meet,player,1.0
miss,ball,1.0
mix,salad,1.0
moor,shore,1.0
moor,beach,1.0
moor,sea,1.0
moor,canal,1.0
moor,jetty,1.0
moor,marina,1.0
moor,dock,1.0
moor,quay,1.0
moor,water,1.0
moor,waters,1.0
moor,pier,1.0
moor,pontoon,1.0
moor,coast,1.0
moor,harbor,1.0
moor,port,1.0
move,ball,1.0
move,canal,1.0
move,lake,1.0
move,sky,1.0
move,house,1.0
move,mountain,1.0
move,home,1.0
move,wind,1.0
move,leave,1.0
move,valley,1.0
move,match,1.0
move,moon,1.0
move,sea,1.0
navigate,sea,1.0
nestle,site,1.0
observe,player,1.0
offer,sign,1.0
open,box,1.0
open,door,1.0
open,window,1.0
open,eye,1.0
open,bottle,1.0
open,room,1.0
open,gift,1.0
open,bag,1.0
open,mouth,1.0
open,refrigerator,1.0
open,umbrella,1.0
open,show,1.0
order,food,1.0
pace,sideline,1.0
paddle,boat,1.0
paddle,kayak,1.0
paint,picture,1.0
paint,wall,1.0
paint,flag,1.0
paint,glass,1.0
paint,side,1.0
paint,door,1.0
paint,portrait,1.0
paint,window,1.0
pair,dress,1.0
pair,skirt,1.0
parade,street,1.0
park,road,1.0
park,street,1.0
park,driveway,1.0
participate,class,1.0
pass,road,1.0
pass,bridge,1.0
pass,ball,1.0
pass,football,1.0
pass,match,1.0
pass,city,1.0
pass,game,1.0
pass,viaduct,1.0
pass,player,1.0
pass,highway,1.0
pass,crossing,1.0
pass,sign,1.0
pass,town,1.0
pass,half,1.0
pass,person,1.0
pass,mountain,1.0
peer,window,1.0
perch,tree,1.0
perch,branch,1.0
perch,fence,1.0
perform,festival,1.0
perform,show,1.0
perform,concert,1.0
perform,theater,1.0
perform,crowd,1.0
perform,celebration,1.0
perform,dance,1.0
perform,ceremony,1.0
perform,band,1.0
perform,gala,1.0
perform,music,1.0
perform,night,1.0
perform,rehearsal,1.0
perform,venue,1.0
perform,artist,1.0
perform,final,1.0
perform,match,1.0
perform,scene,1.0
perform,tour,1.0
perform,award,1.0
perform,composition,1.0
perform,conference,1.0
perform,fest,1.0
perform,game,1.0
perform,musical,1.0
perform,set,1.0
perform,song,1.0
perform,beach,1.0
perform,finale,1.0
perform,wedding,1.0
perform,weekend,1.0
perform,evening,1.0
perform,part,1.0
perform,performance,1.0
perform,person,1.0
perform,play,1.0
perform,studio,1.0
pet,dog,1.0
pet,horse,1.0
pick,flower,1.0
pick,fruit,1.0
pick,player,1.0
pick,apple,1.0
pick,ball,1.0
picture,character,1.0
picture,child,1.0
picture,kid,1.0
picture,person,1.0
picture,session,1.0
picture,premiere,1.0
picture,action,1.0
picture,event,1.0
picture,set,1.0
pitch,team,1.0
pitch,ball,1.0
place,hand,1.0
plant,flower,1.0
play,ball,1.0
play,stage,1.0
play,music,1.0
play,beach,1.0
play,match,1.0
play,game,1.0
play,team,1.0
play,forehand,1.0
play,backhand,1.0
play,concert,1.0
play,field,1.0
play,sand,1.0
play,soccer,1.0
play,street,1.0
play,daughter,1.0
play,dog,1.0
play,shot,1.0
play,car,1.0
play,child,1.0
play,park,1.0
play,sea,1.0
play,cello,1.0
play,baby,1.0
play,person,1.0
play,theater,1.0
play,crowd,1.0
play,festival,1.0
play,flute,1.0
play,piano,1.0
play,season,1.0
play,violin,1.0
play,saxophone,1.0
play,basketball,1.0
play,balloon,1.0
play,girl,1.0
play,guitar,1.0
play,show,1.0
play,trombone,1.0
play,ukulele,1.0
play,lake,1.0
play,sport,1.0
play,song,1.0
play,sunset,1.0
play,swing,1.0
play,one,1.0
play,cat,1.0
play,catch,1.0
play,gig,1.0
play,rock,1.0
play,tournament,1.0
play,bubble,1.0
play,son,1.0
play,event,1.0
play,mother,1.0
play,puppy,1.0
point,finger,1.0
point,hand,1.0
point,crowd,1.0
pose,person,1.0
pose,session,1.0
pose,trophy,1.0
pose,one,1.0
pose,match,1.0
pose,show,1.0
pose,event,1.0
pose,dress,1.0
pose,team,1.0
pose,actor,1.0
pose,conference,1.0
pose,player,1.0
pose,politician,1.0
pose,premiere,1.0
pose,beach,1.0
pose,ceremony,1.0
pose,night,1.0
pose,character,1.0
pose,jersey,1.0
pose,medal,1.0
pose,picture,1.0
pose,star,1.0
pose,costume,1.0
pose,day,1.0
pose,film,1.0
pose,hat,1.0
pose,launch,1.0
pose,screening,1.0
pose,statue,1.0
pose,afterparty,1.0
pose,concert,1.0
pose,gown,1.0
pose,photo,1.0
pose,shirt,1.0
post,picture,1.0
pound,shoreline,1.0
pound,shore,1.0
pour,dam,1.0
pour,spoon,1.0
pour,tap,1.0
pour,drink,1.0
pour,cocktail,1.0
practice,yoga,1.0
praise,player,1.0
prepare,game,1.0
prepare,food,1.0
prepare,session,1.0
prepare,gift,1.0
prepare,meal,1.0
prepare,net,1.0
prepare,table,1.0
prepare,grill,1.0
prepare,model,1.0
prepare,salad,1.0
prepare,season,1.0
prepare,vegetable,1.0
present,award,1.0
present,outfit,1.0
present,trophy,1.0
present,dress,1.0
present,stage,1.0
protect,ball,1.0
pull,boat,1.0
pull,cart,1.0
pull,hand,1.0
pull,person,1.0
pull,beach,1.0
pull,daughter,1.0
pull,hair,1.0
pull,player,1.0
pull,catch,1.0
pull,man,1.0
pull,net,1.0
pull,rope,1.0
pump,water,1.0
punch,ball,1.0
push,ball,1.0
push,patient,1.0
push,bicycle,1.0
push,person,1.0
push,car,1.0
push,bike,1.0
put,hand,1.0
put,ball,1.0
put,finger,1.0
put,ring,1.0
put,arm,1.0
put,coin,1.0
put,makeup,1.0
put,mask,1.0
race,street,1.0
raise,hand,1.0
raise,arm,1.0
raise,glass,1.0
raise,flag,1.0
raise,bat,1.0
raise,fist,1.0
raise,trophy,1.0
raise,background,1.0
raise,eye,1.0
reach,hand,1.0
reach,shore,1.0
reach,line,1.0
react,game,1.0
react,team,1.0
react,half,1.0
react,match,1.0
react,inning,1.0
react,pitch,1.0
read,book,1.0
read,letter,1.0
read,paper,1.0
read,student,1.0
read,classroom,1.0
read,library,1.0
read,child,1.0
read,message,1.0
read,story,1.0
read,class,1.0
receive,award,1.0
receive,medal,1.0
receive,trophy,1.0
recline,couch,1.0
relax,grass,1.0
relax,garden,1.0
relax,tree,1.0
relax,home,1.0
release,ball,1.0
repair,car,1.0
repair,bicycle,1.0
rest,grass,1.0
rest,chair,1.0
rest,couch,1.0
rest,field,1.0
rest,lawn,1.0
rest,rock,1.0
rest,hammock,1.0
rest,boat,1.0
rest,hand,1.0
rest,shore,1.0
rest,car,1.0
rest,shade,1.0
rest,table,1.0
rest,blanket,1.0
rest,street,1.0
rest,bench,1.0
retrieve,ball,1.0
return,shot,1.0
return,backhand,1.0
return,harbour,1.0
return,punt,1.0
return,kick,1.0
return,volley,1.0
reveal,show,1.0
ride,car,1.0
ride,horse,1.0
ride,cart,1.0
ride,road,1.0
ride,motorcycle,1.0
ride,bicycle,1.0
ride,boat,1.0
ride,scooter,1.0
ride,event,1.0
ride,person,1.0
ride,skateboard,1.0
ride,surfboard,1.0
ride,bike,1.0
ride,race,1.0
ride,trail,1.0
ride,bus,1.0
ride,parade,1.0
ripen,tree,1.0
ripen,bush,1.0
ripen,vine,1.0
rise,sky,1.0
rise,cloud,1.0
rise,mist,1.0
rise,horizon,1.0
rise,fog,1.0
rise,skyline,1.0
rise,lake,1.0
rise,morning,1.0
rise,dusk,1.0
rise,tree,1.0
roam,beach,1.0
rock,wave,1.0
roll,grass,1.0
roll,beach,1.0
roll,field,1.0
roll,shore,1.0
roll,mountain,1.0
roll,peak,1.0
roll,sand,1.0
roost,tree,1.0
rotate,background,1.0
rub,glass,1.0
